species,wind_direction_min,wind_direction_max,water_temp_min,water_temp_max,swell_max,tide_pref,ideal_baits,notes
galjoen,0,360,14,18,1.5,High,"wonderworm; redbait; white mussel; coral worm","Prefers rough white water, rocky gullies"
kob,90,135,17,22,2.5,"Rising/High","live mullet; chokka; octopus; fish fillet; worm","Best during SE winds, slightly dirty water"
garrick,0,360,18,24,2.0,Rising,"live mullet; surface lure; spoon","Hunts baitfish near river mouths and clean water"
shad,0,360,16,22,2.0,"Rising/Falling","sardine; pilchard; mackerel; spoon","Feeds aggressively in surf, early morning"
steenbras,0,360,16,20,1.8,High,"bloodworm; sand prawn; moonshine worm","Prefers sandy bottoms, channels"
bronze_whaler,90,135,18,22,3.0,Rising,"fish heads; bonito; mullet","Best with strong SE wind warming False Bay"
yellowtail,270,360,16,20,2.5,"Rising","mackerel; chokka; sardine","Found near Cape Point/Whittle Rock"
snoek,300,360,13,17,3.0,Falling,"pilchard; mackerel; spinner","Prefers cold green water"
roman,0,360,14,20,2.0,High,"squid; redbait; sardine","Reef species"
hottentot,0,360,14,20,2.5,High,"mussel; redbait","Rocky structures, calmer conditions"
baardman,0,360,15,19,2.0,Rising,"prawn; worm","Often found preparing to feed on sandy flats"
musselcracker,0,360,14,22,2.5,"Rising/High","crab; prawn; mussel","Prefers structure and reef edges"
blacktail,0,360,14,22,2.0,Rising,"prawn; mussel; chokka","Abundant surf species"
bonito,0,360,17,25,2.5,"Rising/High","spoon; plug; sardine","Pelagic shoals, clean blue water"
leerfish,0,360,16,23,2.5,Rising,"live mullet; plug; spoon","Estuary mouths and surf points"
